time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-01T06:30:08.488Z,-23.9685,-67.2354,230.48,4.1,mb,,92,1.332,0.72,us,us6000g84l,2021-12-01T12:06:17.040Z,"97 km WNW of San Antonio de los Cobres, Argentina",earthquake,11.7,12.4,0.301,5,reviewed,us,us
2021-12-01T06:04:53.754Z,35.2214,141.3954,10,4.9,mb,,121,2.476,0.95,us,us6000g83u,2021-12-01T11:10:52.077Z,"76 km SE of Hasaki, Japan",earthquake,5.3,1.9,0.05,128,reviewed,us,us
2021-12-01T05:08:38.311Z,35.2588,141.3482,39.67,4.5,mb,,100,2.487,0.77,us,us6000g83b,2021-12-01T09:43:43.040Z,"70 km SE of Hasaki, Japan",earthquake,6.7,7.9,0.136,16,reviewed,us,us
2021-12-01T04:49:10.178Z,-37.9149,-73.6928,15.94,4.5,mb,,153,1.231,0.52,us,us6000g837,2021-12-01T23:03:09.040Z,"28 km WSW of Cañete, Chile",earthquake,5.8,4.2,0.136,16,reviewed,us,us
2021-12-01T04:39:24.903Z,-37.9268,-73.6241,15.18,5.1,mww,,68,1.226,0.61,us,us6000g836,2021-12-01T23:35:22.039Z,"Near the coast of Bio-Bio, Chile",earthquake,5.3,2.8,0.047,43,reviewed,us,us
2021-12-01T04:09:18.467Z,35.1775,141.3611,35,4.6,mb,,134,2.424,0.62,us,us6000g835,2021-12-01T23:52:01.040Z,"78 km SE of Hasaki, Japan",earthquake,7.6,2,0.087,40,reviewed,us,us
2021-12-01T03:46:11.518Z,38.7192,70.2525,10,4.6,mb,,49,1.406,0.88,us,us6000g832,2021-12-01T23:44:30.040Z,"29 km ESE of Darband, Tajikistan",earthquake,4.9,1.9,0.083,44,reviewed,us,us
2021-12-01T03:30:13.360Z,38.7928352,-122.7304993,1.93,2.55,md,55,47,0.01075,0.06,nc,nc73658306,2021-12-01T12:40:42.763Z,"3km NE of The Geysers, CA",earthquake,0.14,0.26,0.18,37,automatic,nc,nc
2021-12-01T03:25:16.312Z,56.312,-156.6507,35.5,3.1,ml,,,,0.51,ak,ak021fe2yyce,2021-12-01T21:55:51.040Z,"108 km E of Chignik, Alaska",earthquake,,7,,,automatic,ak,ak
2021-12-01T02:21:42.667Z,-22.8301,-63.8273,545,4.2,mb,,58,5.212,0.52,us,us6000g82m,2021-12-01T02:36:34.040Z,"25 km S of General Mosconi, Argentina",earthquake,11.2,17.4,0.187,8,reviewed,us,us
2021-12-01T02:20:07.970Z,17.9615,-66.7826,18,2.79,md,18,183,0.0975,0.1,pr,pr2021335000,2021-12-01T03:39:45.102Z,"5 km SE of Indios, Puerto Rico",earthquake,0.52,0.4,0.23,8,reviewed,pr,pr
2021-12-01T01:42:58.711Z,67.6747,-161.6608,24.16,2.9,ml,,97,0.607,0.44,us,us6000g82k,2021-12-01T02:19:00.040Z,"56 km E of Noatak, Alaska",earthquake,6.2,6.4,0.06,36,reviewed,us,us
2021-12-01T01:39:48.580Z,35.6755,-117.5241667,9.49,2.78,ml,40,69,0.1022,0.11,ci,ci39875151,2021-12-01T16:47:52.217Z,"15km SW of Searles Valley, CA",earthquake,0.14,0.37,0.182,25,reviewed,ci,ci
